번호,링크,날짜,앵글,참가자(선택),제목,주제(선택),등록자(선택)
96,https://www.youtube.com/watch?v=SnhIEevpt-k,2024-12-01,,,[20241130] 도봉구청장기대회 개인전 상암DMC 이승희 홍 vs 류연주 백,,
97,https://www.youtube.com/watch?v=6OmVSpegv3k,2024-11-26,,,[2024] 추계 서울시 대학검도연맹전 단체전 중견 남서현 홍,,
98,https://www.youtube.com/watch?v=o4pi8vEzc7U,2024-11-26,,,[2024] 추계 서울시 대학검도연맹전 단체전 김민서 홍,,
99,https://www.youtube.com/watch?v=AN8pnkaTeFM,2024-11-26,,,[2022] 서대문구청장기 단체전 이화여대 류연주 백,,
100,https://www.youtube.com/watch?v=muo1kHpWt0s,2024-11-26,,,[2022] 서대문구청장기 단체전 박수빈 백,,
101,https://www.youtube.com/watch?v=kB5FuP3W3qE,2024-11-24,,,[2024] 추계서울시대학연맹전 여자OB전 박수빈,,
102,https://www.youtube.com/watch?v=oHh-_j7kcz0,2024-11-24,,,[2024] 추계 서울시 대학검도연맹전 여자OB전 박수빈,,
103,https://www.youtube.com/watch?v=w-GHjKK-jrg,2024-11-24,,,[2024] 금천구청장기 여자 유단자부 전체본,,
104,https://www.youtube.com/watch?v=dqqlEUydb9M,2024-11-24,,,[2024] 240311 춘계연맹전 대비 연습시합 남서현 김효민,,
105,https://www.youtube.com/watch?v=p3X69lmfQsc,2024-11-24,,,[2024] 240311 춘계연맹전 대비 연습시합 박수빈 김유현,,
106,https://www.youtube.com/watch?v=UaFGs4hPvZ0,2024-11-24,,,[2024] 신촌검도관 송혜린(홍) 명무대 김원경(백),,
107,https://www.youtube.com/watch?v=y70FN3pFffc,2024-11-24,,,[2024] 금천구청장기 이화여대 김민서(홍) 신촌관 박상희(백),,
108,https://www.youtube.com/watch?v=b1lKY8MTcXs,2024-11-24,,,[2024] 금천구청장기 이화검우회 박수빈(홍) 명무대 김원경(백),,
109,https://www.youtube.com/watch?v=aCQiT8vj7zE,2024-11-16,,,코오롱스포렉스 (2024년 11월 16일),,
110,https://www.youtube.com/watch?v=82yspWlkvQk,2024-11-14,,,코오롱스포렉스 저녁반 (2024년 11월 13일),,
111,https://www.youtube.com/watch?v=X5kG3jzgaUk,2024-11-08,,,코오롱스포렉스 저녁반 (2024년 11월 8일),,
112,https://www.youtube.com/watch?v=ytMdEmVHZso,2024-11-04,,,코오롱스포렉스 저녁반 (2024년 11월 4일),,
113,https://www.youtube.com/watch?v=9IYfj-jRrf4,2024-11-02,,,코오롱스포렉스 저녁반 (2024년 11월 1일),,
114,https://www.youtube.com/watch?v=wNHi4b-c3w8,2024-10-30,,,코오롱스포렉스 저녁반 (2024년 10월 30일),,
115,https://www.youtube.com/watch?v=_qH4aC_VQgc,2024-10-28,,,코오롱스포렉스 저녁반 (2024년 10월 28일),,
116,https://www.youtube.com/watch?v=FrIFFj_Rb1g,2024-10-23,,,코오롱스포렉스 저녁반 (2024년 10월 23일),,
